year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,7
1965,6
1966,1
1967,1
1968,0
1969,2
1970,5
1971,1
1972,3
1973,1
1974,0
1975,7
1976,6
1977,0
1978,3
1979,1
1980,10
1981,2
1982,0
1983,6
1984,0
1985,8
1986,0
1987,3
1988,0
1989,0
1990,2
1991,0
1992,2
1993,4
1994,0
1995,2
1996,0
1997,0
1998,0
1999,0
2000,0
2001,2
2002,0
2003,0
2004,2
2005,0
2006,0
2007,1
2008,0
2009,0
2010,1
2011,0
2012,0
2013,0
2014,0
2015,6
2016,7
2017,6
2018,0
2019,1
2020,1
2021,2
2022,0
,2
,2
,5
,1
,7
,3
,1
,1
,0
,7
,0
,6
,0
,1
,3
,1
,3
,10
,2
,5
,0
,6
,1
,0
,8
,4
,0
,3
,0
,0
,0
,0
,2
,0
,0
,2
,4
,0
,2
,0
,1
,2
,1
,2
,1
,0
,1
,0
,0
,6
,0
,4
,2
,2
,0
,1
