year,total
1950,82
1951,88
1952,87
1953,95
1954,89
1955,67
1956,105
1957,88
1958,80
1959,65
1960,71
1961,51
1962,96
1963,69
1964,112
1965,74
1966,74
1967,76
1968,68
1969,88
1970,93
1971,115
1972,80
1973,121
1974,105
1975,95
1976,82
1977,52
1978,71
1979,78
1980,90
1981,87
1982,75
1983,84
1984,86
1985,92
1986,99
1987,77
1988,85
1989,63
1990,89
1991,103
1992,93
1993,87
1994,77
1995,69
1996,62
1997,47
1998,91
1999,115
2000,72
2001,81
2002,48
2003,61
2004,92
2005,103
2006,78
2007,81
2008,85
2009,74
2010,78
2011,56
2012,93
2013,94
2014,51
2015,89
2016,83
2017,87
2018,73
2019,88
2020,66
2021,65
2022,70
2023,77
