year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,28
1961,24
1962,37
1963,43
1964,43
1965,45
1966,30
1967,40
1968,31
1969,41
1970,34
1971,47
1972,18
1973,50
1974,28
1975,23
1976,46
1977,19
1978,20
1979,25
1980,50
1981,33
1982,8
1983,18
1984,0
1985,64
1986,59
1987,42
1988,58
1989,30
1990,42
1991,64
1992,49
1993,50
1994,36
1995,38
1996,25
1997,22
1998,45
1999,50
2000,40
2001,43
2002,19
2003,33
2004,37
2005,79
2006,48
2007,43
2008,38
2009,26
2010,50
2011,31
2012,61
2013,46
2014,14
2015,38
2016,21
2017,49
2018,32
2019,28
2020,15
2021,25
2022,31
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,28
,24
,37
,43
,43
,45
,30
,40
,31
,41
,34
,47
,18
,50
,28
,23
,46
,19
,20
,25
,50
,33
,8
,18
,0
,64
,59
,42
,58
,30
,42
,64
,49
,50
,36
,38
,25
,22
,45
,50
,40
,43
,19
,33
,37
,79
,48
,43
,38
,26
,50
,31
,61
,46
,14
,38
,21
,49
,32
,28
,15
,25
,31
