year,total
1950,19
1951,18
1952,40
1953,44
1954,34
1955,13
1956,50
1957,41
1958,23
1959,13
1960,15
1961,17
1962,36
1963,21
1964,38
1965,35
1966,24
1967,30
1968,31
1969,33
1970,38
1971,43
1972,16
1973,42
1974,30
1975,26
1976,36
1977,8
1978,10
1979,21
1980,39
1981,38
1982,3
1983,48
1984,48
1985,43
1986,44
1987,36
1988,49
1989,29
1990,31
1991,34
1992,52
1993,52
1994,34
1995,22
1996,14
1997,10
1998,28
1999,42
2000,34
2001,40
2002,17
2003,29
2004,38
2005,74
2006,36
2007,38
2008,21
2009,24
2010,30
2011,31
2012,53
2013,37
2014,13
2015,30
2016,13
2017,36
2018,23
2019,31
2020,17
2021,20
2022,21
2023,39
2024,2
