fecha,min
1950-12-30,0.0
1950-12-31,-0.6
1953-02-15,0.0
1954-02-01,-2.8
1954-02-02,-3.2
1954-02-03,-3.0
1954-02-04,-1.0
1954-02-05,-1.6
1954-02-06,-0.8
1955-03-08,0.0
1955-03-10,-0.2
1956-02-02,-0.8
1956-02-03,-3.8
1956-02-04,-4.1
1956-02-05,-0.6
1956-02-06,-1.5
1956-02-10,-3.4
1956-02-11,-7.3
1956-02-12,-5.1
1956-02-13,-3.5
1956-02-18,-0.1
1956-02-21,0.0
1957-01-17,-0.5
1957-01-18,-1.4
1958-01-24,-0.4
1960-01-11,-3.1
1960-01-15,-0.6
1960-01-16,-1.0
1962-12-25,-2.7
1962-12-26,-2.0
1963-02-02,-0.5
1963-02-05,-1.5
1963-12-15,-0.3
1963-12-16,-0.4
1963-12-17,-1.3
1965-02-11,0.0
1965-02-19,-0.3
1965-02-20,-1.2
1965-02-21,-0.1
1969-01-01,0.0
1969-01-02,-0.4
1970-12-24,-0.8
1970-12-25,-1.4
1971-01-02,-1.1
1971-01-03,-1.8
1971-03-07,-0.4
1976-01-26,-2.8
1976-01-27,-1.4
1976-01-28,-1.0
1978-02-11,0.0
1978-02-12,-0.8
1978-02-13,0.0
1978-02-14,0.0
1978-11-30,-0.5
1979-12-23,-0.6
1980-01-19,-0.4
1980-11-30,-1.8
1980-12-02,-0.2
1980-12-03,0.0
1981-01-04,-0.6
1981-02-20,0.0
1981-02-21,-1.2
1981-02-25,-0.4
1983-01-05,0.0
1983-01-21,-0.4
1983-01-22,0.0
1983-02-09,0.0
1983-02-10,-2.0
1983-02-11,-2.2
1983-02-12,-0.2
1983-02-13,0.0
1983-02-14,-1.6
1984-01-11,-0.6
1984-12-29,0.0
1985-01-06,-0.4
1985-01-07,-3.0
1985-01-08,-2.6
1985-01-09,-4.0
1985-01-10,-0.2
1985-01-11,-1.6
1985-01-12,-1.2
1985-01-13,-0.8
1985-01-14,-2.2
1985-01-15,-3.0
1985-01-16,-4.4
1985-01-17,-0.2
1985-11-20,-0.4
1986-02-09,0.0
1986-02-10,-1.2
1986-02-11,-1.4
1986-02-12,-1.6
1986-12-23,-0.2
1987-01-19,0.0
1987-02-19,-0.4
1987-02-21,0.0
1987-02-22,0.0
1987-02-23,0.0
1999-02-01,-0.8
2003-02-18,-0.3
2005-01-27,-2.0
2005-01-28,-0.6
2005-02-22,-0.2
2006-01-29,-0.3
2009-01-08,0.0
2011-01-22,-1.8
2011-01-23,-0.4
2011-01-24,-0.6
