year,total
1950,8
1951,0
1952,5
1953,13
1954,10
1955,2
1956,19
1957,5
1958,3
1959,0
1960,3
1961,1
1962,6
1963,18
1964,5
1965,8
1966,2
1967,4
1968,1
1969,4
1970,5
1971,9
1972,0
1973,6
1974,0
1975,0
1976,3
1977,2
1978,10
1979,3
1980,10
1981,6
1982,1
1983,6
1984,6
1985,19
1986,6
1987,9
1988,10
1989,0
1990,1
1991,2
1992,4
1993,5
1994,0
1995,0
1996,1
1997,0
1998,0
1999,3
2000,0
2001,10
2002,0
2003,4
2004,1
2005,6
2006,0
2007,7
2008,1
2009,7
2010,13
2011,5
2012,10
2013,0
2014,0
2015,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,1
2022,0
