year,total
1950,0
1951,0
1952,0
1953,0
1954,55
1955,48
1956,66
1957,45
1958,43
1959,28
1960,42
1961,23
1962,58
1963,56
1964,61
1965,57
1966,28
1967,40
1968,6
1969,25
1970,10
1971,40
1972,22
1973,49
1974,17
1975,19
1976,28
1977,22
1978,25
1979,40
1980,38
1981,36
1982,9
1983,37
1984,25
1985,45
1986,29
1987,36
1988,29
1989,22
1990,36
1991,33
1992,31
1993,25
1994,22
1995,35
1996,31
1997,16
1998,33
1999,43
2000,23
2001,23
2002,6
2003,30
2004,27
2005,54
2006,29
2007,25
2008,25
2009,23
2010,47
2011,16
2012,29
2013,26
2014,10
2015,12
2016,11
2017,22
2018,11
2019,8
2020,8
2021,18
2022,22
2023,31
2024,8
2025,14
2026,5
