fecha,min
1950-01-03,0
1950-01-22,-2.4
1950-01-23,-2.2
1950-01-26,-2
1950-03-02,-3.2
1950-03-03,-3.2
1950-03-04,-1
1950-03-12,-0.4
1950-03-13,-0.2
1950-12-31,-0.6
1951-03-02,-2.2
1951-03-03,-0.2
1951-03-08,0
1951-12-01,-0.6
1952-01-23,-1
1952-01-26,-1.4
1952-01-28,0
1952-02-07,-2.4
1952-02-08,-2.8
1952-12-05,0
1952-12-06,-2.8
1952-12-07,-0.8
1952-12-09,-2
1952-12-10,-1.2
1952-12-29,0
1952-12-31,-1.4
1953-01-12,-0.5
1953-01-13,-2.4
1953-01-14,0
1953-01-15,-2.2
1953-01-16,-2
1953-01-17,-0.2
1953-01-18,-0.2
1953-01-19,-0.4
1953-01-20,-3.5
1953-01-21,-3.5
1953-01-27,-3.8
1953-01-28,-2.6
1953-01-30,-1.5
1953-02-02,-1
1953-02-04,-3.4
1953-02-05,-2.8
1953-02-06,-3.8
1953-02-15,0
1953-02-24,-0.5
1953-02-25,-0.6
1953-02-26,-0.4
1953-03-08,0
1953-03-09,-2.8
1953-03-10,-2
1953-03-11,-0.5
1953-12-23,0
1953-12-24,-1.5
1954-01-05,0
1954-02-01,-5
1954-02-02,-4.8
1954-02-03,-2.4
1954-02-04,-3
1954-02-05,-2.2
1954-02-06,-1
1954-11-17,0
1954-11-18,0
1954-11-20,0
1954-12-28,-0.4
1955-01-02,0
1955-03-01,-1
1955-03-01,-1
1955-03-02,-0.8
1955-03-04,-0.2
1955-03-08,-1
1955-03-11,-1.8
1955-03-12,-1.4
1955-03-14,-0.4
1955-03-19,-1.4
1955-11-19,0
1955-11-20,-2.4
1955-11-22,-1.8
1955-11-26,-4
1955-11-27,-0.6
1956-01-04,-2
1956-01-06,-2
1956-02-02,-1.2
1956-02-03,-4
1956-02-04,-3
1956-02-05,-0.2
1956-02-06,-1
1956-02-08,-3
1956-02-09,-3.8
1956-02-10,-4
1956-02-11,-6.5
1956-02-12,-8
1956-02-13,-5
1956-02-14,-1.5
1956-02-15,-0.6
1956-02-16,-7.6
1956-02-17,-0.8
1956-02-18,0
1956-02-19,-1.6
1956-02-20,-4
1956-02-21,-0.4
1956-02-22,0
1956-02-23,-2.5
1956-02-28,0
1956-02-29,-3
1956-03-02,-1.5
1956-03-12,-1.5
1956-03-13,-1
1956-03-14,-1.5
1956-11-18,-1
1956-12-23,0
1957-01-10,0
1957-01-12,0
1957-01-15,0
1957-01-17,-1
1957-01-18,-7
1957-01-19,-3
1957-01-20,-3
1957-01-21,-2.5
1957-12-05,-0.6
1958-02-05,0
1958-02-20,-3
1958-03-07,0
1958-03-30,0
1958-12-30,0
1959-01-10,-0.6
1959-01-11,-4
1959-01-12,-2.4
1959-01-17,-1
1959-02-02,-1.4
1959-02-17,-1.2
1959-02-19,0
1959-02-20,-1
1960-01-11,-2.2
1960-01-15,-1
1960-01-16,-1.2
1960-01-30,0
1960-02-14,-1.6
1960-02-15,-1.2
1960-02-16,0
1961-01-13,-1.4
1961-03-23,-1
1961-03-30,0
1961-12-16,-1
1961-12-17,-2
1961-12-19,-4
1961-12-20,-2.6
1961-12-21,-4.4
1962-01-31,-4.6
1962-02-01,-1
1962-02-16,-1
1962-02-19,-1
1962-02-20,-0.6
1962-02-24,-0.6
1962-03-15,-1
1962-03-17,-2
1962-03-18,-5
1962-04-16,-0.8
1962-11-14,0
1962-11-23,-0.4
1962-11-28,-1
1962-11-30,-2
1962-12-01,-1
1962-12-02,-1.4
1962-12-04,-2.6
1962-12-05,-0.2
1962-12-24,-4
1962-12-25,-7.4
1962-12-26,-2.6
1963-01-13,-1
1963-01-14,-4
1963-01-15,-7.6
1963-01-16,-5
1963-01-17,-1.5
1963-01-23,-0.6
1963-01-26,-4.6
1963-01-27,-4
1963-01-28,-3.8
1963-02-01,-0.6
1963-02-02,-4.4
1963-02-03,-8.6
1963-02-04,-1.8
1963-02-05,-2.4
1963-02-08,-0.2
1963-02-25,-1.6
1963-02-26,-1.4
1963-03-25,-0.6
1963-12-14,-0.8
1963-12-15,-0.6
1963-12-16,-2
1963-12-17,-3.6
1963-12-22,-0.8
1963-12-23,-2.6
