year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,23
1957,77
1958,69
1959,46
1960,35
1961,41
1962,88
1963,59
1964,91
1965,60
1966,71
1967,71
1968,70
1969,75
1970,88
1971,96
1972,78
1973,97
1974,84
1975,89
1976,81
1977,52
1978,60
1979,67
1980,90
1981,76
1982,25
1983,89
1984,102
1985,114
1986,120
1987,83
1988,94
1989,85
1990,101
1991,111
1992,113
1993,118
1994,101
1995,91
1996,77
1997,47
1998,88
1999,101
2000,74
2001,72
2002,47
2003,62
2004,81
2005,105
2006,74
2007,75
2008,68
2009,68
2010,73
2011,64
2012,97
2013,87
2014,58
2015,65
2016,67
2017,75
2018,65
2019,61
2020,51
2021,57
2022,53
2023,68
2024,9
