year,total
1950,0
1951,0
1952,1
1953,0
1954,4
1955,1
1956,8
1957,2
1958,1
1959,0
1960,1
1961,0
1962,4
1963,1
1964,0
1965,4
1966,0
1967,2
1968,0
1969,0
1970,1
1971,2
1972,0
1973,0
1974,0
1975,0
1976,1
1977,0
1978,2
1979,0
1980,2
1981,1
1982,0
1983,3
1984,2
1985,7
1986,0
1987,1
1988,2
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,2
2000,0
2001,0
2002,0
2003,1
2004,0
2005,3
2006,1
2007,0
2008,0
2009,1
2010,2
2011,1
2012,5
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
