year,total
1950,0
1951,22
1952,34
1953,47
1954,38
1955,36
1956,48
1957,40
1958,20
1959,18
1960,20
1961,20
1962,37
1963,48
1964,48
1965,33
1966,21
1967,36
1968,17
1969,38
1970,32
1971,35
1972,24
1973,42
1974,28
1975,25
1976,34
1977,8
1978,19
1979,29
1980,30
1981,27
1982,2
1983,43
1984,16
1985,42
1986,10
1987,19
1988,23
1989,20
1990,26
1991,26
1992,33
1993,26
1994,13
1995,19
1996,12
1997,8
1998,26
1999,32
2000,23
2001,25
2002,5
2003,20
2004,13
2005,50
2006,30
2007,20
2008,16
2009,20
2010,33
2011,17
2012,23
2013,23
2014,3
2015,14
2016,5
2017,21
2018,11
2019,8
2020,8
2021,8
2022,16
,0
,22
,34
,47
,38
,36
,48
,40
,20
,18
,20
,20
,37
,48
,48
,33
,21
,36
,17
,38
,32
,35
,24
,42
,28
,25
,34
,8
,19
,29
,30
,27
,2
,43
,16
,42
,10
,19
,23
,20
,26
,26
,33
,26
,13
,19
,12
,8
,26
,32
,23
,25
,5
,20
,13
,50
,30
,20
,16
,20
,33
,17
,23
,23
,3
,14
,5
,21
,11
,8
,8
,8
,16
