year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,62
1962,66
1963,60
1964,88
1965,75
1966,81
1967,88
1968,78
1969,77
1970,98
1971,88
1972,66
1973,107
1974,78
1975,78
1976,83
1977,35
1978,67
1979,63
1980,88
1981,82
1982,58
1983,77
1984,78
1985,77
1986,83
1987,59
1988,72
1989,46
1990,68
1991,62
1992,82
1993,87
1994,51
1995,47
1996,39
1997,37
1998,57
1999,85
2000,64
2001,65
2002,33
2003,48
2004,54
2005,94
2006,59
2007,54
2008,53
2009,44
2010,50
2011,45
2012,76
2013,66
2014,34
2015,55
2016,40
2017,58
2018,51
2019,55
2020,36
2021,38
2022,38
2023,66
2024,13
