year,total
1950,4
1951,4
1952,13
1953,8
1954,15
1955,2
1956,17
1957,3
1958,6
1959,2
1960,3
1961,0
1962,2
1963,2
1964,2
1965,10
1966,5
1967,9
1968,5
1969,5
1970,6
1971,6
1972,6
1973,11
1974,8
1975,4
1976,10
1977,1
1978,4
1979,1
1980,2
1981,6
1982,0
1983,9
1984,7
1985,9
1986,6
1987,2
1988,2
1989,0
1990,3
1991,6
1992,5
1993,7
1994,7
1995,2
1996,2
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,1
2004,2
2005,9
2006,1
2007,1
2008,0
2009,1
2010,9
2011,1
2012,1
2013,0
2014,2
2015,1
2016,0
2017,3
2018,0
2019,1
2020,0
2021,2
2022,1
,4
,4
,13
,8
,15
,2
,17
,3
,6
,2
,3
,0
,2
,2
,2
,10
,5
,9
,5
,5
,6
,6
,6
,11
,8
,4
,10
,1
,4
,1
,2
,6
,0
,9
,7
,9
,6
,2
,2
,0
,3
,6
,5
,7
,7
,2
,2
,0
,0
,1
,0
,0
,0
,1
,2
,9
,1
,1
,0
,1
,9
,1
,1
,0
,2
,1
,0
,3
,0
,1
,0
,2
,1
