year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,15
1962,24
1963,23
1964,19
1965,12
1966,6
1967,11
1968,3
1969,8
1970,8
1971,19
1972,8
1973,28
1974,5
1975,5
1976,0
1977,1
1978,1
1979,2
1980,7
1981,9
1982,2
1983,17
1984,6
1985,10
1986,4
1987,8
1988,7
1989,5
1990,9
1991,12
1992,14
1993,2
1994,1
1995,3
1996,3
1997,2
1998,3
1999,2
2000,3
2001,8
2002,0
2003,2
2004,0
2005,12
2006,10
2007,8
2008,2
2009,4
2010,3
2011,0
2012,3
2013,0
2014,2
2015,2
2016,1
2017,5
2018,1
2019,3
2020,0
2021,1
2022,2
2023,1
