year,total
1950,0
1951,0
1952,3
1953,23
1954,19
1955,3
1956,21
1957,18
1958,10
1959,3
1960,3
1961,5
1962,8
1963,23
1964,20
1965,12
1966,1
1967,9
1968,5
1969,12
1970,12
1971,18
1972,6
1973,18
1974,4
1975,15
1976,24
1977,5
1978,9
1979,5
1980,17
1981,11
1982,1
1983,23
1984,10
1985,24
1986,8
1987,17
1988,10
1989,8
1990,16
1991,10
1992,18
1993,16
1994,11
1995,6
1996,3
1997,1
1998,6
1999,16
2000,14
2001,17
2002,4
2003,8
2004,17
2005,51
2006,23
2007,15
2008,20
2009,18
2010,34
2011,13
2012,24
2013,15
2014,7
2015,17
2016,4
2017,18
2018,10
2019,7
2020,12
2021,10
2022,18
2023,25
