year,total
1950,2
1951,0
1952,0
1953,1
1954,6
1955,2
1956,11
1957,2
1958,1
1959,0
1960,3
1961,0
1962,2
1963,5
1964,0
1965,4
1966,0
1967,0
1968,0
1969,2
1970,2
1971,3
1972,0
1973,0
1974,0
1975,0
1976,3
1977,0
1978,5
1979,1
1980,4
1981,4
1982,0
1983,9
1984,2
1985,13
1986,5
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,1
2004,0
2005,3
2006,1
2007,0
2008,0
2009,1
2010,0
2011,3
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
