year,total
1950,0
1951,21
1952,43
1953,41
1954,35
1955,18
1956,64
1957,46
1958,26
1959,27
1960,29
1961,17
1962,35
1963,23
1964,32
1965,40
1966,42
1967,36
1968,26
1969,26
1970,32
1971,35
1972,23
1973,54
1974,39
1975,29
1976,44
1977,11
1978,20
1979,22
1980,44
1981,46
1982,22
1983,26
1984,31
1985,32
1986,27
1987,22
1988,10
1989,22
1990,29
1991,41
1992,50
1993,47
1994,30
1995,21
1996,15
1997,10
1998,36
1999,49
2000,28
2001,25
2002,18
2003,26
2004,29
2005,68
2006,38
2007,35
2008,36
2009,21
2010,24
2011,31
2012,66
2013,65
2014,35
2015,40
2016,17
2017,39
2018,36
2019,54
2020,28
2021,31
2022,24
2023,45
