year,total
1950,79
1951,86
1952,76
1953,72
1954,85
1955,68
1956,100
1957,87
1958,82
1959,51
1960,61
1961,55
1962,98
1963,82
1964,98
1965,81
1966,75
1967,82
1968,73
1969,85
1970,102
1971,98
1972,82
1973,113
1974,95
1975,97
1976,82
1977,68
1978,68
1979,72
1980,86
1981,68
1982,54
1983,61
1984,75
1985,86
1986,87
1987,71
1988,66
1989,64
1990,77
1991,79
1992,77
1993,74
1994,63
1995,50
1996,59
1997,36
1998,63
1999,89
2000,61
2001,80
2002,45
2003,67
2004,101
2005,101
2006,79
2007,80
2008,76
2009,83
2010,87
2011,62
2012,90
2013,86
2014,61
2015,77
2016,73
2017,75
2018,77
2019,85
2020,54
2021,52
2022,56
2023,69
2024,24
