year,total
1950,0
1951,0
1952,5
1953,14
1954,17
1955,1
1956,14
1957,10
1958,13
1959,0
1960,4
1961,4
1962,2
1963,4
1964,7
1965,18
1966,7
1967,14
1968,13
1969,8
1970,8
1971,6
1972,2
1973,9
1974,3
1975,3
1976,4
1977,0
1978,3
1979,3
1980,12
1981,20
1982,0
1983,6
1984,6
1985,9
1986,5
1987,5
1988,3
1989,2
1990,0
1991,1
1992,5
1993,7
1994,8
1995,2
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,7
2006,0
2007,0
2008,0
2009,3
2010,0
2011,0
2012,8
2013,0
2014,0
2015,0
2016,0
2017,1
2018,1
2019,0
2020,0
2021,4
2022,0
