fecha,min
1952-01-15,0.0
1954-01-10,0.0
1954-02-01,-1.0
1954-02-02,-1.2
1954-02-05,-0.3
1955-03-11,-1.0
1956-02-03,-1.0
1956-02-04,-1.8
1956-02-05,-0.4
1956-02-06,-1.0
1956-02-11,-4.0
1956-02-12,-4.6
1956-02-13,-2.4
1956-02-21,0.0
1957-01-17,-0.8
1957-01-18,-0.4
1958-01-15,0.0
1960-01-11,-0.4
1962-02-01,-0.8
1962-12-24,-0.6
1962-12-25,-1.4
1962-12-26,-2.6
1963-02-03,-1.6
1965-02-11,0.0
1965-02-12,0.0
1965-02-17,0.0
1965-02-20,-0.6
1967-12-12,0.0
1967-12-14,-0.2
1970-12-26,-0.4
1971-01-02,-1.0
1971-01-03,-2.6
1976-01-26,-0.4
1978-02-12,0.0
1978-02-13,-0.4
1980-12-01,-0.2
1980-12-02,-0.2
1981-02-01,-1.6
1983-02-10,-0.4
1983-02-13,-0.4
1983-02-14,-1.8
1984-03-11,-0.2
1984-12-31,-0.2
1985-01-09,-2.6
1985-01-10,-1.0
1985-01-11,-0.2
1985-01-13,-0.8
1985-01-14,-1.8
1985-01-15,-2.2
1985-01-16,-2.4
1987-02-21,-0.4
1988-02-27,0.0
1988-02-28,-0.4
1999-02-02,0.0
1999-02-15,-0.6
2003-01-14,-0.5
2005-01-27,-1.0
2005-01-28,-2.2
2005-01-31,-1.4
2006-01-29,-1.4
2009-12-20,0.0
2010-12-16,0.0
2010-12-27,-2.0
2011-01-22,-0.8
2012-02-03,0.0
2012-02-05,-1.6
2012-02-08,0.0
2012-02-12,-0.2
2012-02-13,-0.5
2019-01-12,0.0
