year,total
1950,23
1951,24
1952,22
1953,17
1954,20
1955,9
1956,37
1957,15
1958,17
1959,6
1960,12
1961,7
1962,21
1963,22
1964,24
1965,28
1966,3
1967,20
1968,12
1969,35
1970,34
1971,24
1972,16
1973,22
1974,18
1975,28
1976,20
1977,15
1978,13
1979,16
1980,14
1981,10
1982,9
1983,16
1984,19
1985,26
1986,22
1987,18
1988,8
1989,15
1990,8
1991,17
1992,18
1993,16
1994,10
1995,9
1996,9
1997,7
1998,7
1999,18
2000,14
2001,12
2002,1
2003,11
2004,15
2005,22
2006,19
2007,13
2008,11
2009,25
2010,29
2011,4
2012,16
2013,13
2014,4
2015,10
2016,6
2017,18
2018,12
2019,7
2020,3
2021,8
2022,11
2023,14
