year,total
1950,106
1951,108
1952,106
1953,112
1954,111
1955,93
1956,132
1957,114
1958,90
1959,88
1960,79
1961,82
1962,112
1963,99
1964,123
1965,89
1966,92
1967,95
1968,89
1969,95
1970,109
1971,103
1972,105
1973,124
1974,95
1975,111
1976,101
1977,75
1978,92
1979,88
1980,102
1981,92
1982,71
1983,85
1984,95
1985,97
1986,116
1987,86
1988,86
1989,73
1990,82
1991,105
1992,93
1993,96
1994,69
1995,83
1996,62
1997,54
1998,74
1999,92
2000,66
2001,83
2002,53
2003,63
2004,101
2005,107
2006,79
2007,85
2008,88
2009,91
2010,95
2011,78
2012,106
2013,96
2014,63
2015,86
2016,84
2017,74
2018,67
2019,80
2020,66
2021,68
2022,63
2023,72
2024,22
