year,total
1950,44
1951,49
1952,54
1953,50
1954,52
1955,44
1956,64
1957,51
1958,39
1959,18
1960,28
1961,21
1962,54
1963,53
1964,48
1965,49
1966,24
1967,44
1968,24
1969,44
1970,43
1971,51
1972,24
1973,51
1974,34
1975,38
1976,52
1977,27
1978,40
1979,42
1980,44
1981,34
1982,22
1983,37
1984,32
1985,55
1986,40
1987,45
1988,40
1989,23
1990,33
1991,29
1992,41
1993,34
1994,19
1995,22
1996,22
1997,9
1998,31
1999,19
2000,4
2001,45
2002,8
2003,30
2004,46
2005,77
2006,47
2007,37
2008,27
2009,30
2010,52
2011,18
2012,39
2013,31
2014,10
2015,22
2016,17
2017,40
2018,25
2019,32
2020,20
2021,28
2022,33
2023,45
2024,6
