year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,24
1960,20
1961,24
1962,60
1963,45
1964,70
1965,24
1966,23
1967,38
1968,33
1969,51
1970,54
1971,52
1972,29
1973,81
1974,51
1975,60
1976,51
1977,28
1978,43
1979,41
1980,51
1981,60
1982,17
1983,47
1984,0
1985,32
1986,50
1987,28
1988,39
1989,45
1990,67
1991,121
1992,89
1993,77
1994,69
1995,63
1996,62
1997,41
1998,80
1999,100
2000,70
2001,76
2002,42
2003,52
2004,82
2005,99
2006,62
2007,79
2008,70
2009,74
2010,78
2011,54
2012,77
2013,81
2014,44
2015,80
2016,76
2017,83
2018,86
2019,79
2020,64
2021,65
2022,69
2023,86
2024,58
2025,61
2026,34
