year,total
1950,17
1951,19
1952,30
1953,42
1954,31
1955,34
1956,43
1957,30
1958,20
1959,15
1960,15
1961,13
1962,23
1963,46
1964,42
1965,26
1966,7
1967,27
1968,10
1969,40
1970,32
1971,33
1972,17
1973,33
1974,12
1975,21
1976,17
1977,16
1978,18
1979,24
1980,22
1981,20
1982,6
1983,33
1984,13
1985,36
1986,14
1987,26
1988,25
1989,31
1990,42
1991,45
1992,44
1993,45
1994,25
1995,32
1996,25
1997,11
1998,31
1999,31
2000,34
2001,29
2002,12
2003,17
2004,25
2005,51
2006,44
2007,30
2008,30
2009,30
2010,44
2011,27
2012,21
2013,24
2014,19
2015,25
2016,16
2017,24
2018,24
2019,17
2020,23
2021,12
2022,28
2023,27
