fecha,min
1964-01-07,0
1964-01-08,-1
1964-01-09,0
1964-02-08,0
1964-02-09,0
1964-02-10,0
1964-03-09,0
1965-01-06,-1.5
1965-01-07,0
1965-01-10,0
1965-02-11,0
1965-02-12,0
1965-02-20,-0.5
1966-12-25,0
1967-12-18,0
1969-01-03,0
1969-01-04,0
1970-01-01,0
1970-01-02,0
1970-03-02,0
1970-12-19,0
1970-12-27,0
1971-01-02,-1
1972-01-02,0
1972-01-03,-1
1972-01-04,-1
1973-12-04,0
1975-01-08,0
1975-01-09,0
1975-12-22,0
1975-12-23,0
1975-12-29,0
1975-12-30,-1
1975-12-31,-1.4
1976-01-02,0
1976-01-03,-1
1976-01-16,0
1976-01-17,0
1976-01-18,-0.2
1976-12-30,0
1978-02-11,0
1978-02-12,-1.6
1978-12-19,0
1979-02-17,-1
1980-01-14,0
1980-01-15,-1
1980-01-17,0
1980-01-18,0
1980-12-08,-0.4
1980-12-09,-2
1980-12-10,-0.6
1980-12-11,0
1980-12-30,-2
1980-12-31,-1.6
1981-01-08,0
1981-02-12,-0.2
1983-01-21,-0.2
1983-01-22,-1.2
1983-02-13,-0.6
1983-02-14,-1.6
1983-02-16,-1.2
1983-02-17,-0.4
1985-01-07,-1
1985-01-09,-2.4
1985-01-10,-1.6
1985-01-11,-0.4
1985-01-12,-1.8
1985-01-13,-2
1985-01-14,-0.6
1985-01-15,-3
1987-01-13,-1.6
1987-01-14,-3.6
1987-01-15,-2.4
1990-12-09,-0.4
1990-12-21,0
1992-01-20,0
1992-01-23,-0.6
1993-01-02,0
1993-01-03,-0.4
1993-03-01,-1.2
1993-03-01,-1.2
1994-02-04,0
1994-02-05,-1.4
1996-02-21,0
1996-02-22,-1.2
1997-01-05,-1
1997-01-06,-0.2
1998-12-02,-0.2
1999-01-12,0
2001-02-26,0
2001-12-16,-0.5
2001-12-18,-0.8
2001-12-22,-1.5
2001-12-24,-0.6
2001-12-25,-1.3
2003-01-13,-1.4
2003-02-01,-0.5
2004-02-21,-1.7
2004-03-02,-0.7
2005-02-24,0
2005-02-25,-0.8
2005-02-26,0
2005-03-01,-2
2005-03-01,-2
2005-03-02,-2
2005-03-04,-1
2006-02-23,-0.3
2008-12-02,0
2009-01-08,-0.4
2009-01-10,-1.1
2009-12-20,-1
2010-01-08,-0.1
2010-01-09,-1.3
2010-11-28,0
2010-12-03,-0.4
2010-12-24,0
2011-01-26,0
2012-02-03,-0.5
2012-02-04,0
2012-02-10,-0.6
2012-02-12,0
2017-01-19,-1
2018-02-08,-0.3
