year,total
1950,8
1951,1
1952,6
1953,13
1954,14
1955,9
1956,19
1957,5
1958,3
1959,5
1960,13
1961,1
1962,10
1963,30
1964,10
1965,13
1966,5
1967,9
1968,4
1969,16
1970,12
1971,16
1972,2
1973,6
1974,1
1975,6
1976,7
1977,5
1978,9
1979,8
1980,12
1981,10
1982,0
1983,9
1984,7
1985,23
1986,5
1987,18
1988,9
1989,2
1990,6
1991,3
1992,2
1993,7
1994,3
1995,4
1996,8
1997,1
1998,3
1999,11
2000,3
2001,8
2002,0
2003,9
2004,4
2005,17
2006,6
2007,6
2008,0
2009,11
2010,21
2011,4
2012,11
2013,4
2014,3
2015,5
2016,0
2017,8
2018,4
2019,0
2020,1
2021,3
2022,0
,8
,1
,6
,13
,14
,9
,19
,5
,3
,5
,13
,1
,10
,30
,10
,13
,5
,9
,4
,16
,12
,16
,2
,6
,1
,6
,7
,5
,9
,8
,12
,10
,0
,9
,7
,23
,5
,18
,9
,2
,6
,3
,2
,7
,3
,4
,8
,1
,3
,11
,3
,8
,0
,9
,4
,17
,6
,6
,0
,11
,21
,4
,11
,4
,3
,5
,0
,8
,4
,0
,1
,3
,0
