year,total
1950,70
1951,28
1952,43
1953,42
1954,66
1955,38
1956,67
1957,59
1958,6
1959,3
1960,40
1961,29
1962,74
1963,44
1964,75
1965,62
1966,49
1967,49
1968,35
1969,62
1970,66
1971,63
1972,57
1973,80
1974,57
1975,61
1976,56
1977,29
1978,53
1979,36
1980,66
1981,62
1982,47
1983,56
1984,61
1985,62
1986,44
1987,0
1988,0
1989,37
1990,67
1991,73
1992,67
1993,69
1994,48
1995,43
1996,43
1997,18
1998,52
1999,75
2000,46
2001,56
2002,26
2003,42
2004,63
2005,89
2006,54
2007,47
2008,41
2009,50
2010,62
2011,43
2012,78
2013,67
2014,32
2015,50
2016,44
2017,51
2018,47
2019,31
2020,33
2021,40
2022,36
2023,54
2024,31
2025,38
2026,21
