year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,2
1956,40
1957,33
1958,20
1959,4
1960,9
1961,6
1962,19
1963,9
1964,27
1965,30
1966,27
1967,29
1968,27
1969,20
1970,18
1971,29
1972,7
1973,47
1974,35
1975,24
1976,36
1977,5
1978,10
1979,14
1980,33
1981,42
1982,10
1983,27
1984,15
1985,23
1986,15
1987,16
1988,23
1989,18
1990,10
1991,22
1992,31
1993,30
1994,26
1995,17
1996,6
1997,1
1998,20
1999,27
2000,21
2001,10
2002,4
2003,15
2004,12
2005,60
2006,25
2007,17
2008,7
2009,8
2010,10
2011,20
2012,45
2013,13
2014,5
2015,16
2016,3
2017,25
2018,8
2019,18
2020,9
2021,13
2022,10
2023,20
