year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,11
1992,0
1993,75
1994,48
1995,0
1996,46
1997,42
1998,0
1999,18
2000,17
2001,11
2002,13
2003,24
2004,75
2005,26
2006,6
2007,48
2008,8
2009,33
2010,46
2011,39
2012,18
2013,42
2014,31
2015,39
2016,18
2017,30
2018,26
2019,17
2020,33
2021,41
2022,13
,35
,18
,24
,20
,25
,26
,4
,21
,6
,24
,26
,8
,31
,12
,33
,19
,25
,39
,53
,18
,40
,20
,31
,22
,22
,39
,37
,26
,30
,39
,31
,26
,4
,21
,33
,10
,27
,41
,15
,25
,35
,12
,18
,18
,27
,20
,25
,4
,21
,24
,26
,31
,12
,19
,25
,53
,40
,20
,22
,22
,37
,26
,39
,31
,4
,21
,10
,27
,15
,25
,12
,18
,27
