year,total
1950,1
1951,1
1952,4
1953,2
1954,17
1955,4
1956,18
1957,8
1958,1
1959,2
1960,6
1961,1
1962,10
1963,10
1964,4
1965,11
1966,0
1967,7
1968,0
1969,1
1970,8
1971,8
1972,4
1973,5
1974,0
1975,4
1976,2
1977,1
1978,5
1979,4
1980,7
1981,3
1982,3
1983,0
1984,0
1985,0
1986,0
1987,14
1988,14
1989,5
1990,6
1991,13
1992,13
1993,17
1994,14
1995,6
1996,5
1997,2
1998,11
1999,11
2000,11
2001,13
2002,4
2003,11
2004,7
2005,31
2006,17
2007,14
2008,6
2009,9
2010,16
2011,9
2012,24
2013,14
2014,3
2015,12
2016,5
2017,18
2018,8
2019,12
2020,7
2021,13
2022,4
2023,16
