year,total
1950,10
1951,4
1952,12
1953,27
1954,11
1955,15
1956,31
1957,9
1958,5
1959,8
1960,7
1961,8
1962,21
1963,26
1964,16
1965,16
1966,10
1967,15
1968,4
1969,17
1970,22
1971,26
1972,5
1973,23
1974,8
1975,13
1976,22
1977,7
1978,4
1979,3
1980,12
1981,6
1982,2
1983,18
1984,13
1985,23
1986,6
1987,11
1988,13
1989,8
1990,18
1991,17
1992,17
1993,11
1994,2
1995,9
1996,10
1997,4
1998,11
1999,12
2000,8
2001,14
2002,0
2003,6
2004,3
2005,15
2006,11
2007,11
2008,4
2009,8
2010,8
2011,3
2012,9
2013,2
2014,3
2015,7
2016,3
2017,15
2018,8
2019,4
2020,0
2021,2
2022,8
,10
,4
,12
,27
,11
,15
,31
,9
,5
,8
,7
,8
,21
,26
,16
,16
,10
,15
,4
,17
,22
,26
,5
,23
,8
,13
,22
,7
,4
,3
,12
,6
,2
,18
,13
,23
,6
,11
,13
,8
,18
,17
,17
,11
,2
,9
,10
,4
,11
,12
,8
,14
,0
,6
,3
,15
,11
,11
,4
,8
,8
,3
,9
,2
,3
,7
,3
,15
,8
,4
,0
,2
,8
