fecha,mediaXX,mediaXXI,diff
01,20.5,21.4,-0.8
02,20.4,21.9,-1.5
03,20.9,21.4,-0.5
04,20.4,21.4,-1
05,20.4,22.3,-1.9
06,20.5,22.9,-2.3
07,21.0,23.2,-2.1
08,21.1,23.1,-2
09,21.2,22.7,-1.5
10,20.9,22.4,-1.5
11,21.4,22.3,-0.9
12,22.2,23.0,-0.8
13,22.2,23.3,-1.1
14,22.6,23.2,-0.5
15,23.2,22.9,0.3
16,23.2,22.6,0.5
17,22.8,22.7,0.1
18,23.0,21.9,1.1
19,23.0,21.9,1.1
20,23.2,23.8,-0.6
21,23.6,25.3,-1.6
22,23.8,25.5,-1.6
23,23.4,24.4,-1
24,23.8,24.0,-0.1
25,24.0,24.8,-0.8
26,24.1,25.8,-1.6
27,23.7,26.5,-2.8
28,23.4,26.8,-3.4
29,24.1,24.6,-0.5
30,24.3,24.4,-0.0
