year,temp
1954,15.4
1955,16.4
1956,14.9
1959,16.3
1960,16.1
1961,17.2
1962,16.7
1963,16.1
1964,17.1
1973,15.3
1974,15.1
1975,15.2
1976,15.1
1977,15.4
1978,15.3
1979,15.7
1980,15.3
1981,15.9
1982,16.5
1983,16.2
1984,15.2
1985,15.9
1986,16
1987,16.5
1988,16.6
1989,17.1
1990,16.7
1991,15.8
1992,16
1993,15.8
1994,16.8
1995,16.8
1996,16.2
1997,17.2
1998,16.8
1999,16.8
2000,16.7
2001,17
2002,16.9
2003,17.5
2004,16.8
2005,16.3
2007,17
2008,16.7
2009,17
2010,16.3
2011,17.5
2012,17
2013,17
2014,17.9
2015,17.4
2016,17.6
2017,17.5
