year,total
1950,506
1951,353
1952,561
1953,618
1954,309
1955,613
1956,317
1957,578
1958,515
1959,510
1960,469
1961,660
1962,753
1963,428
1964,814
1965,500
1966,574
1967,513
1968,548
1969,536
1970,589
1971,609
1972,326
1973,663
1974,550
1975,666
1976,676
1977,198
1978,518
1979,659
1980,734
1981,628
1982,756
1983,698
1984,441
1985,752
1986,664
1987,977
1988,728
1989,1123
1990,1148
1991,1015
1992,799
1993,720
1994,1087
1995,1005
1996,747
1997,864
1998,1139
1999,1054
2000,832
2001,1064
2002,797
2003,1469
2004,1220
2005,1153
2006,1313
2007,869
2008,981
2009,1281
2010,1242
2011,1205
2012,1246
2013,1033
2014,1068
2015,1373
2016,1302
2017,1430
2018,1292
