year,temp,tempmax,yearmax,tempmin,yearmin
1951,17.9,20.4,2009,17.1,1956
1952,17.8
1953,18.6
1954,18.1
1955,19.4
1956,17.1
1957,18.1
1958,18.5
1959,18.6
1960,18.4
1961,19
1962,18.5
1963,18.2
1964,18.5
1966,18.1
1967,17.8
1968,18.1
1969,17.4
1970,18
1971,17.4
1972,17.2
1973,17.8
1974,17.9
1975,18
1976,17.8
1977,18
1978,18.1
1979,18.1
1980,18.2
1981,18.7
1982,18.3
1983,18.6
1984,17.8
1985,18.6
1986,18
1987,18.7
1988,18.6
1989,19.6
1990,19.4
1991,18.7
1992,18.5
1993,18.2
1994,19.6
1995,20.3
1996,19
1997,19.9
1998,19.5
1999,19.3
2000,19.5
2001,19.6
2003,19.8
2004,19.6
2005,19.5
2006,20.1
2007,19.5
2008,19.6
2009,20.4
2010,19.9
2011,20.3
2012,19.2
2013,19
2014,19.5
2015,20
2016,19.8
2017,20.2
2018,18.8
2019,19.4
