year,total
1950,1
1951,1
1952,1
1953,1
1954,0
1955,0
1956,0
1957,0
1958,3
1959,1
1960,0
1961,0
1962,2
1963,0
1964,0
1965,8
1966,1
1967,7
1968,2
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,4
1979,0
1980,0
1981,4
1982,3
1983,0
1984,0
1985,0
1986,0
1987,0
1988,3
1989,5
1990,1
1991,13
1992,3
1993,1
1994,8
1995,17
1996,0
1997,0
1998,0
1999,1
2000,2
2001,0
2002,0
2003,10
2004,6
2005,3
2006,3
2007,2
2008,0
2009,1
2010,1
2011,0
2012,10
2013,0
2014,0
2015,6
2016,7
2017,20
2018,8
2019,4
2020,4
2021,20
2022,23
2023,20
2024,0
