year,total
1950,99
1951,73
1952,78
1953,116
1954,105
1955,91
1956,58
1957,166
1958,124
1959,113
1960,106
1961,137
1962,223
1963,69
1964,168
1965,193
1966,188
1967,169
1968,174
1969,151
1970,139
1971,56
1972,31
1973,122
1974,154
1975,168
1976,117
1977,24
1978,179
1979,120
1980,183
1981,177
1982,138
1983,90
1984,84
1985,137
1986,141
1987,224
1988,222
1989,264
1990,270
1991,425
1992,237
1993,227
1994,360
1995,264
1996,112
1997,77
1998,284
1999,202
2000,199
2001,229
2002,127
2003,460
2004,250
2005,303
2006,343
2007,183
2008,199
2009,350
2010,319
2011,220
2012,386
2013,250
2014,142
2015,455
2016,421
2017,487
2018,245
2019,343
2020,424
2021,296
2022,671
2023,571
2024,485
