year,temp,tempmax,yearmax,tempmin,yearmin
1950,15.8,17.8,2018,14.7,1972
1951,15.1
1952,15.8
1953,15.5
1954,15.1
1955,16
1957,15.1
1958,15.7
1959,15.8
1960,15.6
1961,16.3
1962,15.5
1963,14.9
1964,15.6
1965,15.1
1966,15.6
1967,15.7
1968,15.9
1969,15.1
1970,15.3
1971,15.4
1972,14.7
1973,14.8
1974,14.9
1975,15
1976,15
1977,15
1978,14.9
1979,15.3
1980,15.1
1981,15.6
1982,15.9
1983,15.7
1984,14.8
1985,15.1
1986,15.4
1987,15.6
1988,15.7
1989,16.4
1990,16.7
1991,14.9
1992,14.8
1993,14.8
1994,16.8
1995,16.6
1996,16.2
1997,17
1998,16.8
1999,16.7
2000,16.1
2001,15.3
2002,15.7
2003,17.4
2004,17.2
2005,16.5
2006,17.4
2007,16.9
2008,16.5
2009,16.7
2010,15.8
2011,17.2
2012,17
2013,16.9
2015,17.5
2016,17.5
2017,17.6
2018,17.8
