year,temp
1955,16.1
1957,15.1
1958,16.2
1959,16.2
1960,16
1961,16.7
1962,16
1963,15.6
1964,16.1
1966,16.4
1967,15.9
1968,15.8
1969,15.1
1970,15.5
1971,15.1
1972,14.6
1973,15.2
1974,15.1
1975,15.1
1976,15.1
1978,15.5
1979,15.7
1980,15.3
1981,15.9
1983,15.9
1984,15.1
1985,15.4
1986,15.7
1987,16
1988,16.5
1989,16.7
1990,16.4
1991,15.8
1992,15.7
1993,15.5
1994,16.8
1995,16.7
1996,16.1
1997,16.9
1998,16.5
1999,16.4
2000,16.4
2001,16.6
2002,16.4
2003,16.7
2004,16.1
2005,15.6
2006,16.7
2007,16.5
2008,15.1
2012,16.6
2013,16.5
2014,17.1
2015,17.2
2017,17
