year,total
1950,7
1951,9
1952,14
1953,11
1954,7
1955,8
1956,2
1957,20
1958,22
1959,21
1960,6
1961,9
1962,38
1963,3
1964,21
1965,38
1966,33
1967,37
1968,39
1969,12
1970,15
1971,2
1972,0
1973,18
1974,23
1975,35
1976,18
1977,0
1978,40
1979,22
1980,25
1981,36
1982,27
1983,7
1984,11
1985,19
1986,12
1987,24
1988,42
1989,62
1990,53
1991,91
1992,53
1993,40
1994,69
1995,82
1996,10
1997,3
1998,38
1999,39
2000,38
2001,25
2002,9
2003,98
2004,66
2005,46
2006,69
2007,26
2008,17
2009,58
2010,52
2011,15
2012,85
2013,41
2014,17
2015,100
2016,74
2017,112
2018,56
2019,58
2020,84
2021,17
