year,temp,tempmax,yearmax,tempmin,yearmin
1954,10.3,12.9,2017,9.2,1972
1955,11.7
1956,9.5
1957,10.4
1958,10.8
1959,10.9
1960,10.7
1961,12.1
1962,11
1963,10.4
1964,11.3
1965,10.7
1966,11
1967,10.8
1968,10.9
1969,9.7
1970,10.4
1971,9.5
1972,9.2
1973,10
1974,9.8
1975,9.8
1976,10
1977,10
1978,10.1
1979,10.4
1980,10.1
1981,10.8
1985,10.3
1986,10
1987,10.7
1988,10.1
1989,11.2
1990,10.9
1991,10.1
1992,10.1
1993,9.4
1994,10.7
1995,11.3
1996,10.3
1997,11.8
1998,11.3
1999,11
2000,11.2
2001,11.4
2002,11.6
2003,12
2004,11.5
2005,11.6
2006,12.3
2007,11.2
2008,11.1
2009,12.2
2010,11.3
2011,12.4
2012,11.3
2013,11
2014,12.2
2015,12.6
2016,12.1
2017,12.9
2018,11.8
