year,temp
1954,12.3
1955,13.8
1956,11.7
1957,12.8
1958,13.2
1959,13.4
1960,12.7
1962,12.7
1972,11.4
1973,12.2
1974,12
1975,12.4
1976,12.5
1977,12.3
1978,12.1
1979,11.9
1980,11.8
1981,12.8
1982,13
1983,12.9
1984,11.7
1985,12.6
1986,12.3
1987,12.8
1988,12.7
1989,13.6
1990,13.4
1991,12.4
1992,12.4
1993,12.3
1995,13.3
1996,12.3
1997,13.7
1999,12.5
2000,13.3
2001,13.1
2002,13.4
2003,14
2004,13
2005,12.8
2007,13
2008,12.8
2009,13.5
2010,12.6
2011,14.2
2012,13.3
2013,13.1
2014,14
2015,13.8
2016,13.7
2017,14.2
