year,temp
1950,11.8
1951,10.5
1952,11
1953,11.3
1954,10.7
1955,11.8
1956,9.7
1957,10.8
1958,11.2
1959,11.3
1960,11
1961,12.1
1962,11.3
1963,10.6
1964,11.3
1967,10.9
1968,11.3
1969,10.3
1970,10.9
1971,10
1972,9.9
1973,10.2
1974,10
1975,10.4
1976,10.9
1977,10.6
1978,10.8
1979,11.1
1980,10.9
1981,11.6
1982,11.5
1983,11.3
1984,10.3
1985,11.2
1986,10.9
1987,11.6
1988,11.1
1989,12.4
1990,11.9
1991,11.1
1992,11.2
1993,10.5
1994,11.8
1995,12.3
1996,11.3
1997,12.4
1998,11.6
1999,11.1
2000,11.2
2001,11.4
2002,11.8
2003,12.1
2004,11.3
2005,11.4
2006,12.2
2007,11.1
2008,11
2009,12.1
2010,11.2
2011,12.5
2012,11.3
2013,11.1
2014,12.3
2015,12
2016,11.6
2017,12.4
