year,temp,tempmax,yearmax,tempmin,yearmin
1960,14.5,17.3,2022,13.8,1972
1961,15.6
1962,14.7
1963,14.0
1964,14.9
1965,14.6
1966,15.1
1967,14.8
1968,15.3
1969,14.2
1970,14.8
1971,14.1
1972,13.8
1973,14.3
1974,14.0
1975,14.3
1976,14.2
1977,14.6
1978,14.5
1979,14.8
1980,14.3
1981,15.2
1982,15.3
1985,14.5
1986,14.7
1987,14.8
1988,14.7
1989,15.4
1990,15.1
1991,14.5
1992,14.1
1993,13.9
1994,15.4
1995,15.5
1996,15.0
1997,15.6
1998,15.1
1999,15.2
2000,15.5
2001,15.2
2002,15.5
2003,16.0
2004,15.1
2005,14.7
2006,15.9
2007,15.1
2008,15.1
2009,16.0
2010,14.9
2011,16.2
2012,15.5
2013,14.8
2014,16.3
2015,16.0
2016,15.8
2017,15.8
2018,16.0
2019,16.0
2020,16.1
2021,15.8
2022,17.3
2023,17.0
2024,16.6
