year,total
1950,1202
1951,1009
1952,1159
1953,1490
1954,1293
1955,1564
1956,1124
1957,1352
1958,1444
1959,1243
1960,1512
1961,1893
1962,2059
1963,1346
1964,2209
1965,1778
1966,1626
1967,1703
1968,1647
1969,1381
1970,1885
1971,1388
1972,988
1973,1674
1974,1593
1975,1675
1976,1530
1977,940
1978,1621
1979,1638
1980,1754
1981,1826
1982,1553
1983,1653
1984,1357
1985,2069
1986,1985
1987,2133
1988,1786
1989,2375
1990,2451
1991,2534
1992,1924
1993,1692
1994,2513
1995,2020
1996,1844
1997,1730
1998,2253
1999,2166
2000,2217
2001,2352
2002,1841
2003,2988
2004,2457
2005,2621
2006,2627
2007,1850
2008,1986
2009,2584
2010,2331
2011,2552
2012,2672
2013,2335
2014,2166
2015,2799
2016,2650
2017,2965
2018,2540
