year,total
1950,1
1951,1
1952,2
1953,1
1954,4
1955,0
1956,0
1957,2
1958,4
1959,5
1960,0
1961,0
1962,3
1963,0
1964,0
1965,10
1966,2
1967,11
1968,5
1969,0
1970,2
1971,0
1972,0
1973,2
1974,3
1975,11
1976,5
1977,0
1978,10
1979,3
1980,1
1981,9
1982,8
1983,0
1984,2
1985,3
1986,0
1987,0
1988,11
1989,14
1990,9
1991,27
1992,8
1993,6
1994,19
1995,31
1996,3
1997,0
1998,0
1999,2
2000,4
2001,2
2002,0
2003,22
2004,18
2005,9
2006,8
2007,8
2008,0
2009,2
2010,5
2011,2
2012,19
2013,3
2014,2
2015,19
2016,13
2017,38
2018,19
2019,0
