year,total
1950,786
1951,741
1952,921
1953,1059
1954,1087
1955,721
1956,1438
1957,1126
1958,835
1959,575
1960,753
1961,723
1962,1287
1963,1090
1964,1418
1965,1203
1966,972
1967,1187
1968,932
1969,1209
1970,1323
1971,1445
1972,992
1973,1800
1974,1288
1975,1330
1976,1421
1977,716
1978,1013
1979,1032
1980,1411
1981,1336
1982,685
1983,1289
1984,1168
1985,1489
1986,1278
1987,1082
1988,1136
1989,874
1990,1152
1991,1326
1992,1409
1993,1424
1994,1028
1995,907
1996,808
1997,537
1998,1073
1999,1394
2000,998
2001,1116
2002,540
2003,906
2004,1152
2005,1940
2006,1182
2007,1119
2008,994
2009,1007
2010,1228
2011,853
2012,1471
2013,1195
2014,640
2015,1054
2016,745
2017,1171
2018,905
