year,temp
1950,13.9
1951,12.3
1952,13.8
1953,13.6
1954,12.8
1955,13.9
1956,12.2
1957,13.2
1958,13.7
1959,13.4
1960,13
1961,14.1
1962,13.2
1963,12.5
1964,13.4
1965,13.1
1966,13.7
1967,13.7
1968,13.8
1969,12.5
1970,13.5
1971,12.7
1972,12.4
1973,13
1974,12.7
1975,13
1976,12.9
1977,13.1
1979,13.1
1980,13
1981,14.2
1982,14.2
1983,14.1
1984,13
1985,13.6
1986,13.7
1987,14
1988,13.6
1989,14.5
1990,14.4
1991,13.8
1992,13.3
1993,13.2
1994,14.6
1995,14.7
1996,13.5
1997,14.6
1998,14.1
2001,14.2
2003,14.8
2004,13.9
2005,13.9
2006,14.4
2007,14.1
2008,13.9
2009,14.8
2010,13.6
2011,15.4
2012,15.1
2013,14.1
2014,15.5
2015,15.5
2016,14.6
2017,14.7
