year,total
1950,237
1951,199
1952,237
1953,318
1954,264
1955,282
1956,195
1957,398
1958,296
1959,278
1960,323
1961,386
1962,568
1963,238
1964,477
1965,426
1966,438
1967,390
1968,409
1969,379
1970,394
1971,200
1972,114
1973,335
1974,369
1975,422
1976,301
1977,121
1978,411
1979,319
1980,469
1981,445
1982,324
1983,280
1984,260
1985,437
1986,403
1987,522
1988,507
1989,594
1990,598
1991,781
1992,512
1993,488
1994,719
1995,474
1996,337
1997,247
1998,626
1999,480
2000,552
2001,599
2002,382
2003,981
2004,589
2005,689
2006,745
2007,410
2008,481
2009,768
2010,724
2011,594
2012,785
2013,605
2014,401
2015,857
2016,931
2017,936
2018,620
2019,746
2020,846
2021,635
2022,1214
2023,1001
2024,899
