year,temp
1950,13.8
1951,12.2
1952,
1953,14.1
1954,14.4
1955,15.6
1956,13.3
1957,13.8
1958,14.7
1959,14.2
1960,13.8
1961,14.8
1962,14
1963,13.9
1964,14.8
1965,13.1
1966,13.8
1967,13.3
1968,13.9
1969,12.7
1970,13.1
1971,12.9
1972,13.1
1973,13.3
1974,13.2
1975,13
1976,13.1
1977,13.1
1978,13.3
1979,14
1980,
1981,14.0
1982,13.8
1983,13.9
1984,12.9
1985,
1986,
