year,temp,tempmax,yearmax,tempmin,yearmin
1950,19.2,19.2,2024,16.5,1956
1951,18.0
1952,17.5
1953,18.1
1954,17.7
1955,18.6
1956,16.5
1957,17.7
1958,18.0
1959,18.2
1960,18.5
1961,19.3
1962,18.8
1963,18.4
1964,18.8
1965,18.5
1966,18.5
1967,18.3
1968,18.3
1969,17.7
1970,18.3
1971,17.7
1972,17.4
1973,18.2
1974,18.3
1975,18.3
1976,18.0
1977,18.0
1978,18.4
1979,18.3
1980,18.6
1981,18.9
1982,18.4
1983,18.4
1985,18.0
1986,17.5
1987,18.0
1988,18.0
1989,18.5
1990,18.5
1991,17.7
1992,17.8
1993,17.1
1994,18.2
1995,18.8
1996,18.2
1997,18.9
1998,18.3
1999,17.9
2000,18.0
2001,18.2
2002,18.1
2003,18.6
2004,18.4
2005,17.9
2006,18.5
2007,18.0
2008,18.2
2009,18.8
2010,18.5
2011,18.9
2012,18.4
2013,18.0
2016,18.8
2017,19.2
2018,18.0
2019,18.7
2020,19.1
2021,18.8
2022,19.5
2023,19.7
2024,19.2
