year,total
1950,3
1951,3
1952,4
1953,1
1954,4
1955,1
1956,0
1957,5
1958,10
1959,12
1960,0
1961,2
1962,19
1963,1
1964,3
1965,18
1966,10
1967,18
1968,17
1969,2
1970,5
1971,1
1972,0
1973,5
1974,9
1975,17
1976,12
1977,0
1978,22
1979,9
1980,9
1981,18
1982,15
1983,1
1984,2
1985,9
1986,2
1987,4
1988,18
1989,32
1990,25
1991,49
1992,21
1993,18
1994,40
1995,60
1996,7
1997,0
1998,7
1999,15
2000,14
2001,4
2002,0
2003,51
2004,40
2005,26
2006,30
2007,16
2008,3
2009,19
2010,18
2011,7
2012,43
2013,14
2014,8
2015,41
2016,34
2017,69
2018,33
2019,23
2020,34
2021,46
2022,95
2023,112
2024,26
