year,total
1950,0
1951,0
1952,8
1953,9
1954,8
1955,3
1956,5
1957,6
1958,3
1959,4
1960,1
1961,11
1962,9
1963,2
1964,5
1965,1
1966,4
1967,2
1968,5
1969,7
1970,1
1971,3
1972,0
1973,4
1974,12
1975,13
1976,12
1977,1
1978,21
1979,5
1980,9
1981,6
1982,4
1983,21
1984,6
1985,15
1986,14
1987,12
1988,8
1989,7
1990,11
1991,3
1992,4
1993,2
1994,7
1995,10
1996,9
1997,0
1998,8
1999,9
2000,2
2001,5
2002,6
2003,7
2004,13
2005,6
2006,6
2007,4
2008,0
2009,4
2010,12
2011,11
2012,19
2013,14
2014,4
2015,6
2016,8
2017,13
2018,7
2019,1
