year,total
1950,3
1951,1
1952,1
1953,2
1954,0
1955,4
1956,0
1957,0
1958,0
1959,1
1960,0
1961,3
1962,0
1963,0
1964,2
1965,0
1966,0
1967,0
1968,1
1969,0
1970,0
1971,1
1972,0
1973,5
1974,0
1975,0
1976,1
1977,0
1978,3
1979,0
1980,0
1981,1
1982,2
1983,7
1984,0
1985,1
1986,1
1987,1
1988,0
1989,2
1990,3
1991,1
1992,0
1993,0
1994,4
1995,1
1996,0
1997,7
1998,1
1999,1
2000,0
2001,3
2002,0
2003,16
2004,6
2005,4
2006,11
2007,2
2008,2
2009,6
2010,3
2011,4
2012,2
2013,6
2014,3
2015,2
2016,1
2017,4
2018,6
2019,5
2020,4
2021,2
2022,14
2023,12
2024,4
