year,total
1950,46
1951,49
1952,58
1953,71
1954,41
1955,73
1956,15
1957,59
1958,50
1959,63
1960,53
1961,23
1962,43
1963,35
1964,88
1965,55
1966,60
1967,54
1968,55
1969,38
1970,55
1971,56
1972,22
1973,41
1974,25
1975,38
1976,55
1977,17
1978,22
1979,45
1980,42
1981,24
1982,35
1983,34
1984,36
1985,45
1986,42
1987,57
1988,48
1989,63
1990,72
1991,63
1992,54
1993,52
1994,73
1995,61
1996,42
1997,43
1998,50
1999,63
2000,61
2001,79
2002,72
2003,82
2004,75
2005,65
2006,67
2007,69
2008,86
2009,83
2010,81
2011,92
2012,86
2013,68
2014,81
2015,84
2016,84
2017,88
2018,90
2019,94
2020,79
2021,83
2022,102
2023,97
2024,38
