year,total
1950,49
1951,31
1952,50
1953,37
1954,20
1955,45
1956,19
1957,30
1958,35
1959,41
1960,51
1961,54
1962,73
1963,40
1964,59
1965,41
1966,51
1967,54
1968,50
1969,39
1970,61
1971,57
1972,35
1973,65
1974,49
1975,55
1976,57
1977,22
1978,50
1979,61
1980,65
1981,56
1982,69
1983,62
1984,45
1985,74
1986,72
1987,71
1988,66
1989,79
1990,93
1991,73
1992,61
1993,52
1994,77
1995,68
1996,60
1997,66
1998,84
1999,79
2000,66
2001,80
2002,72
2003,101
2004,97
2005,77
2006,86
2007,79
2008,80
2009,87
2010,78
2011,88
2012,96
2013,80
2014,93
2015,89
2016,86
2017,79
2018,92
2019,93
2020,0
