year,total
1950,8
1951,4
1952,1
1953,3
1954,4
1955,5
1956,1
1957,4
1958,0
1959,0
1960,1
1961,6
1962,4
1963,5
1964,14
1965,5
1966,4
1967,4
1968,7
1969,10
1970,2
1971,3
1972,1
1973,9
1974,5
1975,5
1976,2
1977,0
1978,1
1979,4
1980,2
1981,5
1982,4
1983,3
1984,2
1985,9
1986,2
1987,0
1988,0
1989,4
1990,10
1991,8
1992,12
1993,4
1994,2
1995,4
1996,2
1997,3
1998,10
1999,0
2000,6
2001,2
2002,7
2003,16
2004,3
2005,2
2006,9
2007,2
2008,6
2009,5
2010,4
2011,5
2012,5
2013,2
2014,0
2015,6
2016,11
2017,14
2018,2
2019,8
2020,0
