year,total
1950,47
1951,16
1952,24
1953,42
1954,17
1955,31
1956,15
1957,23
1958,27
1959,23
1960,24
1961,16
1962,43
1963,14
1964,32
1965,27
1966,25
1967,22
1968,22
1969,22
1970,20
1971,10
1972,13
1973,20
1974,17
1975,22
1976,18
1977,1
1978,18
1979,26
1980,20
1981,16
1982,0
1983,14
1984,8
1985,25
1986,14
1987,20
1988,17
1989,30
1990,32
1991,30
1992,23
1993,20
1994,37
1995,31
1996,17
1997,16
1998,29
1999,28
2000,21
2001,29
2002,19
2003,43
2004,27
2005,39
2006,41
2007,15
2008,27
2009,42
2010,34
2011,27
2012,26
2013,24
2014,27
2015,49
2016,51
2017,50
2018,40
2019,46
2020,41
2021,31
2022,0
