year,total
1950,6
1951,3
1952,2
1953,0
1954,0
1955,2
1956,0
1957,3
1958,2
1959,3
1960,0
1961,4
1962,2
1963,0
1964,3
1965,3
1966,1
1967,1
1968,2
1969,6
1970,2
1971,0
1972,0
1973,2
1974,2
1975,1
1976,0
1977,0
1978,1
1979,0
1980,4
1981,1
1982,8
1983,3
1984,2
1985,4
1986,2
1987,12
1988,2
1989,2
1990,5
1991,2
1992,1
1993,1
1994,4
1995,2
1996,1
1997,0
1998,4
1999,1
2000,2
2001,4
2002,0
2003,7
2004,2
2005,9
2006,4
2007,0
2008,0
2009,3
2010,2
2011,2
2012,3
2013,0
2014,3
2015,5
2016,2
2017,4
2018,2
2019,7
2020,3
2021,1
2022,7
2023,7
