year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,10
1961,7
1962,5
1963,4
1964,20
1965,9
1966,9
1967,8
1968,13
1969,8
1970,10
1971,9
1972,4
1973,11
1974,12
1975,11
1976,20
1977,2
1978,3
1979,23
1980,18
1981,11
1982,0
1983,0
1984,0
1985,0
1986,18
1987,30
1988,22
1989,39
1990,41
1991,27
1992,18
1993,24
1994,27
1995,38
1996,20
1997,17
1998,41
1999,27
2000,20
2001,23
2002,12
2003,40
2004,39
2005,36
2006,63
2007,25
2008,29
2009,42
2010,54
2011,43
2012,35
2013,19
2014,9
2015,40
2016,46
2017,41
2018,35
2019,37
2020,46
