year,total
1950,40
1951,16
1952,18
1953,45
1954,15
1955,23
1956,9
1957,44
1958,21
1959,36
1960,33
1961,56
1962,55
1963,28
1964,59
1965,28
1966,35
1967,25
1968,38
1969,42
1970,41
1971,31
1972,25
1973,38
1974,41
1975,38
1976,58
1977,13
1978,43
1979,44
1980,61
1981,61
1982,46
1983,37
1984,0
1985,21
1986,17
1987,38
1988,22
1989,44
1990,30
1991,36
1992,27
1993,17
1994,24
1995,30
1996,14
1997,25
1998,29
1999,25
2000,17
2001,24
2002,7
2003,34
2004,34
2005,26
2006,38
2007,17
2008,18
2009,45
2010,51
2011,23
2012,33
2013,23
2014,19
2015,40
2016,47
2017,38
2018,28
2019,1
