year,total
1950,0
1951,1
1952,0
1953,0
1954,0
1955,2
1956,0
1957,1
1958,1
1959,4
1960,1
1961,1
1962,3
1963,1
1964,5
1965,5
1966,0
1967,2
1968,2
1969,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,2
1976,0
1977,0
1978,0
1979,2
1980,2
1981,1
1982,0
1983,2
1984,2
1985,2
1986,5
1987,4
1988,3
1989,6
1990,2
1991,6
1992,7
1993,2
1994,11
1995,6
1996,2
1997,1
1998,7
1999,7
2000,4
2001,7
2002,0
2003,6
2004,6
2005,6
2006,8
2007,3
2008,7
2009,13
2010,11
2011,5
2012,15
2013,4
2014,1
2015,30
2016,11
2017,23
2018,9
2019,3
2020,0
