year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,10
1956,5
1957,12
1958,6
1959,11
1960,4
1961,12
1962,9
1963,7
1964,16
1965,5
1966,9
1967,2
1968,8
1969,4
1970,4
1971,0
1972,1
1973,8
1974,15
1975,2
1976,10
1977,0
1978,5
1979,3
1980,3
1981,14
1982,5
1983,6
1984,2
1985,3
1986,3
1987,19
1988,3
1989,23
1990,21
1991,20
1992,17
1993,11
1994,2
1995,15
1996,8
1997,14
1998,20
1999,13
2000,9
2001,12
2002,3
2003,22
2004,12
2005,19
2006,25
2007,8
2008,9
2009,18
2010,24
2011,9
2012,19
2013,20
2014,8
2015,20
2016,36
2017,22
2018,17
2019,8
2020,23
2021,6
